frame,x,y,H,S,V,B,G,R
888,849,605,0,198,135,31,30,135
890,886,618,0,202,144,31,30,144
892,879,627,0,203,143,30,29,143
894,888,632,0,203,141,30,29,141
896,906,624,179,199,146,35,32,146
898,890,599,179,199,146,35,32,146
899,897,595,178,193,149,42,36,149
900,899,591,179,205,138,32,27,138
902,867,581,178,197,137,38,31,137
904,893,586,178,206,140,33,27,140
906,902,595,177,173,152,59,49,152
908,869,596,178,176,146,53,45,146
910,893,605,178,190,146,45,37,146
912,872,616,177,181,149,54,43,149
914,872,614,177,180,150,55,44,150
916,886,602,176,180,150,57,44,150
918,886,601,177,177,153,58,47,153
920,886,602,176,180,150,57,44,150
922,886,604,177,181,149,54,43,149
924,886,604,177,181,149,54,43,149
926,889,604,177,181,149,54,43,149
928,904,602,177,167,151,63,52,151
930,907,598,177,172,153,60,50,153
932,910,591,178,174,151,54,48,151
934,904,581,179,185,146,44,40,146
936,894,576,179,185,139,41,38,139
938,886,575,179,185,139,41,38,139
940,872,576,178,193,140,41,34,140
942,863,585,179,192,141,39,35,141
944,858,595,178,185,142,47,39,142
946,851,608,179,193,140,38,34,140
948,850,613,179,194,139,37,33,139
950,852,618,178,188,144,45,38,144
952,852,620,178,189,143,44,37,143
954,852,623,178,185,146,47,40,146
956,853,625,179,184,147,45,41,147
958,853,628,179,176,159,51,49,159
960,856,632,178,180,160,53,47,160
962,859,635,178,185,156,52,43,156
964,862,636,178,191,151,47,38,151
966,865,636,177,194,143,44,34,143
968,866,636,178,189,139,44,36,139
970,867,636,178,186,141,46,38,141
972,867,637,178,185,142,47,39,142
974,869,637,178,179,147,52,44,147
976,874,640,178,193,144,43,35,144
978,883,641,177,197,141,42,32,141
980,892,641,178,203,133,34,27,133
982,899,641,179,205,138,32,27,138
984,904,641,179,180,159,50,47,159
986,908,636,179,211,134,28,23,134
988,910,634,179,205,138,32,27,138
990,914,632,179,178,155,49,47,155
992,918,627,179,184,154,48,43,154
994,920,623,178,185,150,49,41,150
996,920,615,178,187,149,48,40,149
998,923,601,178,125,210,113,107,210
1000,923,592,179,163,147,57,53,147
1002,904,585,178,183,148,49,42,148
1157,1032,601,0,206,120,23,24,120
1159,1104,602,179,204,124,27,25,124
1161,1111,584,0,204,124,25,26,124
1163,1138,563,179,206,120,25,23,120
1165,1162,544,178,204,121,29,24,121
1167,1203,514,179,203,122,27,25,122
1169,1202,506,179,203,122,27,25,122
1171,1216,490,178,204,121,29,24,121
1173,1233,472,0,201,119,26,25,119
1175,1239,470,179,203,118,28,24,118
1195,1267,595,179,206,120,25,23,120
1197,1239,612,179,208,119,24,22,119
1199,1239,628,179,215,115,20,18,115
1201,1227,652,0,212,113,20,19,113
1203,1209,669,179,213,116,21,19,116
1205,1190,680,0,212,113,20,19,113
1207,1156,723,1,216,112,17,19,112
1222,1166,677,0,210,120,21,22,120
1223,1166,666,0,209,121,22,23,121
1225,1164,650,0,207,122,23,24,122
1226,1166,646,1,205,118,23,25,118
1228,1139,658,0,214,118,19,20,118
1230,1144,691,1,213,121,20,23,121
1232,1135,707,0,209,121,22,23,121
1234,1105,738,1,215,120,19,22,120
1236,1080,784,0,210,120,21,22,120
1266,972,919,0,216,125,19,20,125
1268,950,926,0,218,132,19,20,132
1270,909,923,0,209,134,24,24,134
1272,881,891,0,206,136,26,26,136
1274,865,830,0,207,138,27,26,138
1276,851,758,179,206,134,28,26,134
1278,838,718,0,200,134,30,29,134
1280,827,688,179,200,131,31,28,131
1282,837,652,179,199,132,32,29,132
1283,844,636,179,199,132,32,29,132
1284,860,604,0,197,132,30,30,132
1285,870,581,0,197,132,30,30,132
1287,876,566,179,199,132,32,29,132
1289,869,535,179,202,134,32,28,134
1291,876,512,178,197,131,38,30,131
1293,856,480,177,189,136,45,35,136
1295,828,475,179,200,135,33,29,135
1297,780,483,177,181,137,51,40,137
1299,760,495,177,183,135,49,38,135
1301,751,522,177,183,131,47,37,131
1303,788,520,177,186,133,47,36,133
1304,789,518,176,175,131,53,41,131
1306,789,517,177,187,128,42,34,128
1308,773,549,177,187,128,42,34,128
1310,747,613,177,188,134,44,35,134
1312,735,636,178,199,132,35,29,132
1314,728,649,175,159,152,72,57,152
1316,722,681,177,183,138,50,39,138
1318,668,712,176,182,143,56,41,143
1320,595,744,176,144,168,86,73,168
1322,517,772,0,195,149,36,35,149
1324,499,762,174,146,171,91,73,171
1326,515,752,178,196,147,43,34,147
1328,500,758,178,190,146,45,37,146
1330,293,784,179,196,152,39,35,152
1332,276,788,179,193,161,44,39,161
1334,343,746,179,195,161,41,38,161
1336,356,730,179,201,151,34,32,151
1338,290,730,179,196,160,40,37,160
1348,466,768,178,183,148,49,42,148
1350,623,873,178,179,147,52,44,147
1352,749,948,0,213,129,21,21,129
1354,769,974,179,220,125,19,17,125
1355,790,994,179,215,128,22,20,128
1379,1602,586,179,234,120,12,10,120
1381,1624,577,0,230,113,11,11,113
1383,1624,573,0,234,111,9,9,111
1385,1537,584,0,239,109,7,7,109
1387,1537,584,0,243,105,5,5,105
1389,1527,572,0,243,105,5,5,105
1391,1457,544,0,238,107,7,7,107
1393,1375,509,1,243,107,5,7,107
1395,1246,487,0,236,110,8,8,110
1397,1235,491,0,243,107,5,5,107
1399,1235,491,0,243,107,5,5,107
1401,1223,443,0,244,111,5,6,111
1403,1184,365,0,239,109,7,7,109
1405,1144,329,1,227,119,13,17,119
1407,1071,366,179,239,115,9,7,115
1409,973,415,179,235,117,11,9,117
1411,805,393,179,219,127,23,18,127
1413,742,385,179,211,133,25,23,133
1415,675,399,179,201,160,40,34,160
1417,575,403,179,205,153,35,30,153
1419,599,410,179,204,165,38,33,165
1421,625,362,179,205,179,41,35,179
1423,676,320,178,191,192,58,48,192
1425,748,286,177,187,188,64,50,188
1427,843,240,178,197,171,49,39,171
1429,944,216,0,211,169,30,29,169
1431,988,198,1,216,162,25,28,162
1433,1066,166,0,227,157,18,17,157
1435,1148,138,1,230,154,15,18,154
1437,1249,118,0,227,154,17,17,154
1439,1329,92,0,211,144,25,25,144
1441,1362,86,0,213,129,21,21,129
1443,1397,83,1,228,114,12,14,114
1445,1452,67,1,245,99,4,6,99
1447,1457,69,1,245,99,4,6,99
1449,1515,268,0,229,147,16,15,147
1451,1501,464,0,245,122,5,5,122
